SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,URL,cluster
Sixteen,Ellie Goulding,86,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,https://i.scdn.co/image/ab67616d0000b2738bbea9fbdb68b329c1228e25,2
In the Name of Love,Martin Garrix,81,0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,244885,https://i.scdn.co/image/ab67616d0000b2738c77bcf5f5a227d270d23370,2
Sweet Dreams,Alan Walker,88,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,https://i.scdn.co/image/ab67616d0000b273318241eacbdaee4d0f9c4316,0
Summer Thing,Dragonette,88,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,https://i.scdn.co/image/ab67616d0000b27366fe9949f7a1c0731125a5e3,0
Whole Life,Kaivon,79,0.733,0.96,7,-3.597,1,0.0295,0.0514,0.00199,0.287,0.811,124.01,189672,https://i.scdn.co/image/ab67616d0000b273fac46de3e7266f3d1717f664,2
Don't Wanna Fall,Seven Lions,47,0.581,0.954,9,-3.336,1,0.081,0.0244,0.00413,0.223,0.616,127.959,191250,https://i.scdn.co/image/ab67616d0000b273229674bb044ec4ae60bf2a50,2
Excitement (feat. PARTYNEXTDOOR),Trippie Redd,78,0.67,0.668,3,-4.306,0,0.0422,0.536,0.0,0.133,0.608,88.033,179053,https://i.scdn.co/image/ab67616d0000b27343110d0447851b7d5737a7e9,2
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,41,0.234,0.752,1,-5.951,1,0.0748,0.0102,0.0,0.118,0.315,62.114,213879,https://i.scdn.co/image/ab67616d0000b273b8ea4b876287cbbb519ac0fc,0
Stressed Out,Twenty One Pilots,81,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373,https://i.scdn.co/image/ab67616d0000b2732df0d98a423025032d0db1f7,2
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",Céline Dion,79,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,195707,https://i.scdn.co/image/ab67616d0000b273c2e1dc3683211f1240ea8dd2,1
Another Love - Radio Edit,Tom Odell,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000,https://i.scdn.co/image/ab67616d0000b2730c6c995755a55cc312bbf81f,2
working,Tate McRae,40,0.459,0.0182,0,-26.606,1,0.0449,0.967,0.977,0.123,0.0384,120.02,190803,https://i.scdn.co/image/ab67616d0000b2738a01c7b77a34378a62f46402,3
Reckless,Madison Beer,68,0.778,0.227,1,-16.191,1,0.0379,0.983,0.14,0.113,0.38,116.033,213056,https://i.scdn.co/image/ab67616d0000b273fe32f37b07c7894097aafd52,0
Solar Power,Lorde,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,222091,https://i.scdn.co/image/ab67616d0000b27336615a0a60523dd62135ab3a,2
cold/mess,Prateek Kuhad,62,0.52,0.901,0,-5.448,1,0.407,0.331,0.0,0.175,0.509,199.84,163866,https://i.scdn.co/image/ab67616d0000b2738155c99a241d4c57b2c3f88d,1
Kho Gaye Hum Kahan,Jasleen Royal,85,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,173307,https://i.scdn.co/image/ab67616d0000b273edfe45782ad611717d77b2ee,0
i don't want to watch the world end with someone else,Clinton Kane,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b27392ce45bc46589e10ec452085,3
Knock Knock,SoFaygo,40,0.523,0.108,0,-21.457,1,0.0411,0.947,0.826,0.0987,0.139,112.001,131637,https://i.scdn.co/image/ab67616d0000b273836dfeeabc0e33ace0227d47,3
Hula Hoop,OMI,42,0.276,0.0985,5,-28.017,0,0.0342,0.989,0.907,0.0795,0.125,134.587,66448,https://i.scdn.co/image/ab67616d0000b27385ca00029c70d6b5b8372e96,3
Pasadena,Tinashe,39,0.149,0.0328,7,-31.586,0,0.0497,0.878,0.957,0.11,0.0356,104.583,96924,https://i.scdn.co/image/ab67616d0000b273560a43392fff47dfdd7519f1,3
Feel Something,Joshua Bassett,39,0.398,0.0127,0,-31.618,0,0.0417,0.967,0.879,0.084,0.0492,119.963,90363,https://i.scdn.co/image/ab67616d0000b273a9897f65d1ead1be10a51e3f,3
Nothing's the Same,Alexander 23,79,0.758,0.712,7,-3.781,1,0.112,0.0185,0.0,0.0677,0.795,149.998,193387,https://i.scdn.co/image/ab67616d0000b273b5b0a50f80e21a5593c5aa4d,2
You Should Run,Moore Kismet,87,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,https://i.scdn.co/image/ab67616d0000b27356b8013cd1ff06cb3dce4390,2
Poison,DJ Gollum,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000,https://i.scdn.co/image/ab67616d0000b2730ce91190aaea70dd4fe020c4,2
DRXGS - Rawtek Remix,Yellow Claw,62,0.799,0.791,2,-5.173,1,0.109,0.3,0.00089,0.104,0.651,119.993,177476,https://i.scdn.co/image/ab67616d0000b2737e11203c0b52fb72c3da0ff7,2
Shade of Yellow,Griff,51,0.623,0.886,5,-2.409,1,0.0512,0.0526,0.0,0.409,0.235,122.095,209016,https://i.scdn.co/image/ab67616d0000b273a86addb6aaa841a3011ca585,2
Black Hole,Griff,67,0.404,0.806,2,-4.75,1,0.0496,0.198,0.0,0.114,0.112,148.036,220730,https://i.scdn.co/image/ab67616d0000b2732aaa9372a6922e6e3575d828,0
